text,label
குறிப்பிட்ட நேரத்தில் சூரியனை பார்த்தால் கண்பார்வை அதிகரிக்கும்.,fake
சுற்றுப்புறச் சூழல் மாசு அதிகமாகிறது.,negative
"நீதிமன்றத்தில் நீண்ட காலம் வழக்கு நடக்கிறது, நீதி தாமதமாகிறது.",negative
"கலை திருவிழாவில் கலந்துகொண்டோம், இனிய அனுபவம்.",positive
தமிழ்நாட்டில் கோவிட் தடுப்பூசி இலக்கு நிறைவு செய்யப்பட்டது.,real
என் குடும்பம் சிதறியது.,negative
கவலை விட்டுவிட்டால் மனம் எவ்வளவு இலகுவாக இருக்கும்.,positive
"பாட்டி கையால் செய்த கொழுக்கட்டை சாப்பிட்டோம், அருமை.",positive
சோர்வு என்னை கடக்கவே முடியவில்லை.,negative
தொலைபேசி வாடிக்கையாளர் சேவை மோசமாக இருக்கிறது.,negative
இந்த உணவை தின்றால் 10 வருடம் ஆயுள் கூடும் என்று ஆராய்ச்சியில் தெரிய வந்தது.,fake
இந்த நீரை வீட்டில் தெளித்தால் கோவிட் வராது.,fake
ஒரு ஆய்வில் இந்த உணவை சாப்பிட்டவர்கள் 100 ஆண்டு வாழ்ந்தனர்.,fake
வட மாவட்டங்களில் புதிய தொழில் வளர்ச்சி திட்டம் அறிவிக்கப்பட்டது.,real
கோர்ட் வழக்கு இன்று தீர்க்கப்பட்டது.,real
வியாழக்கிழமை கால வழிபாடு இல்லாதவர்களுக்கு பணம் தொலையும்.,fake
என் ஊர் வளர்ச்சியில் மகிழ்ச்சியடைகிறேன்.,positive
இன்று காலை நேரம் மிகவும் இனிமையாக இருந்தது.,positive
பயம் என்னை விடவில்லை.,negative
பெண்கள் தனியாக வெளியே செல்வது பாதுகாப்பற்றதாக உணர்கிறார்கள்.,negative
என் குடும்பத்தினர் அனைவரும் ஆரோக்கியமாக இருக்கிறார்கள்.,positive
என் மனதில் கவலை மட்டுமே நிரம்பியிருக்கிறது.,negative
ஒரு பிரபல கவிஞர் ஊரை விட்டு தலைமறைவாகி உள்ளார் என்பது கற்பனை செய்தி.,fake
மாவட்ட அரசு பள்ளியில் மாணவர்கள் சர்வதேச போட்டியில் வென்றனர்.,real
என் முயற்சிக்கு பலன் இல்லை.,negative
வறட்சி பாதித்த மாவட்டங்களுக்கு அரசு நிவாரண நிதி அனுப்பியது.,real
கஷ்டப்பட்டு பணிவிடை செய்தும் நன்றி சொல்லவில்லை.,negative
என்னை நல்ல வழியில் வழிநடத்தியவர்களுக்கு நன்றி.,positive
ஒவ்வொரு நாளும் ஒரு போராட்டமாக உணர்கிறேன்.,negative
நான் விரும்பிய பல்கலைக்கழகத்தில் இடம் கிடைத்தது.,positive
என் குழு சிறந்த பணி செய்துள்ளது.,positive
வட மாவட்டங்களில் வடகிழக்கு பருவமழை நல்ல அளவில் பெய்தது.,real
இந்த நிலை மாற உள்ளம் ஆவல்படுகிறது.,negative
வீட்டிலிருந்து வேலை: தினம் ரூ.5000 சம்பாதிக்கலாம்.,fake
அமெரிக்க நடிகை இந்தியாவில் குடியேறுவதாக வரும் செய்தி போலி.,fake
வாழ்க்கை தரும் சவால்களை மகிழ்ச்சியுடன் எதிர்கொள்கிறேன்.,positive
பாட்மிண்டன் விளையாட்டில் பரிசு வென்றேன்.,positive
இணைய இணைப்பு தினமும் துண்டிக்கிறது.,negative
என் முயற்சி வீண் என்று உணர்கிறேன்.,negative
வருமான ஏற்றத்தாழ்வு சமூகத்தை பிளவுபடுத்துகிறது.,negative
ஆசிரியர் பணி மனதிற்கு மிகவும் திருப்தியளிக்கிறது.,positive
நாளை இரவு 12 மணிக்கு வாட்ஸ்அப் கட்டணம் வசூல் செய்யப்படும் என்று நிர்வாகம் தெரிவித்துள்ளது.,fake
என் கனவுகள் உடைந்துவிட்டன.,negative
தமிழர்களின் திறமை உலகை வியக்க வைக்கிறது.,positive
தமிழக பொருளாதார வளர்ச்சி கடந்த ஆண்டை விட 7% அதிகரித்தது.,real
நான் மட்டும் ஏன் இவ்வளவு கஷ்டப்படவேண்டும்?,negative
அறிவு பெறுவது எப்போதும் மகிழ்ச்சி தரும்.,positive
நாட்டில் வேலையில்லாத் திண்டாட்டம் அதிகரிக்கிறது.,negative
"ரோட்டில் குப்பை சேர்ந்திருக்கிறது, யாரும் எடுக்கவில்லை.",negative
"அரசு தீவிர கண்காணிப்புக்கு உட்படுத்திவருகிறது, போன் கவனமாக பயன்படுத்துங்கள்.",fake
புதிய தமிழ் படத்தின் பாடல்கள் மிக அருமையாக இருக்கின்றன.,positive
பசும்பால் குடிப்பவர்களுக்கு புற்றுநோய் வராது என்று புதிய ஆய்வு.,fake
தமிழக முதலமைச்சர் வட மாவட்டங்களில் வளர்ச்சித் திட்டங்களை திறந்துவைத்தார்.,real
புதிய பாலம் கட்டுமான திட்டம் அரசாங்கத்தால் அறிவிக்கப்பட்டது.,real
புதிய தொழில்நுட்ப வளாகம் நகர்ப்புற மாவட்டத்தில் உருவாகிறது.,real
தேங்காய் சட்னியுடன் தோசை சாப்பிட்டால் வேறொன்றும் வேண்டாம்.,positive
உச்சநீதிமன்றம் சுற்றுச்சூழல் பாதுகாப்பு வழக்கில் முக்கியத் தீர்ப்பு வழங்கியது.,real
என் அடுத்த படி தெளிவாக தெரிகிறது.,positive
என் அண்ணன் என்னுக்காக எந்த தியாகமும் செய்வான்.,positive
கடல் மாசு மீனவர்களை பாதிக்கிறது.,negative
"வேலையில் வெற்றி கண்டேன், குடும்பம் பெருமைப்படுகிறது.",positive
வாடிக்கையாளர் என் பணியை பாராட்டினார்.,positive
புதிய ஆண்டில் மாணவர் உதவித்தொகை தொகை அதிகரிக்கப்பட்டது.,real
உண்மையான நட்பு என்றும் நிலைக்கும்.,positive
தமிழக விளையாட்டு வீரர்களுக்கு ஆண்டு விருது வழங்கப்பட்டது.,real
"ஆங்கிலம் பேசக் கற்றுக்கொண்டேன், நம்பிக்கை அதிகரித்தது.",positive
"வீட்டில் புதிய பொருள் வாங்கினோம், மனம் மகிழ்கிறது.",positive
"புதிய பயிற்சி பெற்றேன், திறன் மேம்பட்டது.",positive
"புது தமிழ் நாவல் படித்தேன், மனம் நிறைந்தது.",positive
பல மாவட்டங்களில் புதிய அஞ்சலகம் கட்டமைக்கப்படுகிறது.,real
"கல்யாணம் கலைந்தது, மனம் வேதனைப்படுகிறது.",negative
"என் அன்புக்குரியவர் இறந்தார், வாழ்க்கை வெறுமையாகிவிட்டது.",negative
ரத்த சர்க்கரை குறைய வெறும் வாழைப்பழம் மட்டும் சாப்பிடுங்கள்.,fake
வாழ்க்கை ஒரு போராட்டமே.,negative
மனசு அமைதியாக இல்லை.,negative
புதிய புத்தகம் படிக்கத் தொடங்கினேன்.,positive
யாரையும் நம்பவே கஷ்டமாக இருக்கிறது.,negative
தமிழ் சினிமா உலகளவில் பெருமை சேர்க்கிறது.,positive
பிரபல பாடகர் மேடையில் மயக்கம் அடைந்தார் என்று பரவும் செய்தி பொய்.,fake
என் தொழில் முயற்சி இன்று பலன் தரத் தொடங்கியது.,positive
"நம் நாட்டு விவசாயிகள் கடினமாக உழைக்கிறார்கள், வணக்கம்.",positive
என் முன்னோர்கள் கட்டிய வீடு அழிந்தது.,negative
என் சுற்றுப்புறம் பசுமையாக மாறுகிறது.,positive
சாலைகளில் குழிகள் இருந்தும் யாரும் பொருட்படுத்துவதில்லை.,negative
கவிதை படித்தால் மனதிற்கு அமைதி கிடைக்கும்.,positive
தமிழ்நாட்டில் உழவர்களுக்கு சிறப்பு பயிற்சி நிலையம் தொடங்கியது.,real
பாரம்பரிய ஆடைகள் அணிந்து கொண்டாட மனம் ஆவலில் இருக்கிறது.,positive
கோமியம் குடித்தால் 48 மணிக்கு கொவிட் வராது.,fake
இன்று ஒரு நல்ல திட்டம் தொடங்கினோம்.,positive
வயிற்றுக்கு சோறு இல்லை.,negative
கடலோர மீனவர்களுக்கு புதிய படகு திட்டம் வழங்கப்படும்.,real
புது வாய்ப்புகள் வரும்போது துணிவுடன் ஏற்றுக்கொள்கிறேன்.,positive
யாரும் என்னோடு பேசுவதில்லை.,negative
இந்த முதலீட்டில் 3 மாதத்தில் 300% திரும்பும்.,fake
இந்த நடுரவில் மட்டுமே மனம் வெதும்புகிறது.,negative
என் சொந்த ஆட்கள் என்னை கைவிட்டனர்.,negative
குழந்தைகளுடன் விளையாடுவது வாழ்க்கையின் ஆனந்தம்.,positive
மலை சாலையில் பயணம் செய்வது ஒரு அதிசய அனுபவம்.,positive
நடைப் பயணம் மனதிற்கு நல்லது.,positive
சாதிப் பாகுபாடு இன்னும் ஒழியவில்லை.,negative
ஒரு பிரபல அரசியல்வாதி ரகசியமாக வெளிநாட்டில் சொத்து வைத்துள்ளதாக வரும் செய்தி போலி.,fake
நண்பர்களுடன் திட்டமிட்ட பயணம் நனவாகியது.,positive
நான் மட்டுமே ஏன் இவ்வளவு கஷ்டம் சந்திக்கிறேன்?,negative
குளிர்காலத்தில் சூடான காபி குடிப்பதில் தனி மகிழ்ச்சி இருக்கும்.,positive
பழைய நண்பர்களை சந்தித்தபோது மனம் மகிழ்ச்சியால் நிறைந்தது.,positive
மதுரை மீனாட்சி அம்மன் கோயில் பார்க்க மனம் ஆவலில் துடிக்கிறது.,positive
அன்பான வீட்டிலிருந்து வரும்போது மனம் கனக்காது.,positive
அந்நியர்கள் கண்ணீர் சேகரித்து நமக்கு விஷம் கொடுக்கிறார்கள்.,fake
"இன்று என் நண்பன் திருமணம் ஆனது, மகிழ்ச்சியாக இருக்கிறது.",positive
என் யோசனைகளை யாரும் கேட்பதில்லை.,negative
"மரங்கள் வெட்டப்படுகின்றன, யாரும் கேள்வி கேட்பதில்லை.",negative
கட்சி தொழிலாளர்கள் பேரணி நடத்தினர்.,real
"கோல்ஃப் கற்றுக்கொள்கிறேன், புதிய திறன் வளர்கிறது.",positive
ஆன்லைனில் ஆர்டர் செய்த பொருள் வாரம் கடந்தும் வரவில்லை.,negative
இலங்கையில் இரகசியமாக அணு ஆயுதம் வைக்கப்பட்டுள்ளது.,fake
துன்பம் வந்து தொலைந்துவிடாதா?,negative
உங்கள் போன் ஹேக்கிங்கிலிருந்து காக்க இந்த கோடை அழுத்துங்கள்.,fake
"வீடு தொலைந்தது, குடும்பம் கஷ்டத்தில் இருக்கிறது.",negative
தஞ்சாவூர் கோயிலைப் பார்த்தது என் இதயத்தை நிறைத்தது.,positive
என்னை நம்பும் மக்களை ஏமாற்றமாட்டேன்.,positive
பிளாஸ்டிக் ஒழிப்பு இயக்கம் தமிழகம் முழுவதும் விரிவாகியது.,real
கரும்பு சாறு குடித்தால் கோடை வெப்பம் கூட தாங்கும்.,positive
ஊராட்சி அளவில் தெரு விளக்கு மேம்பாட்டு பணி தொடங்கியது.,real
இன்று இரவு தூக்கத்தில் யாரோ உங்களை நெருங்குவார்கள் என்று ஜோதிடர் சொன்னார்.,fake
ஏழைகளுக்கு நீதி கிடைப்பது மிகவும் கஷ்டமாக இருக்கிறது.,negative
தன்னலமில்லா சேவை செய்வதில் உண்மையான இன்பம் இருக்கிறது.,positive
என் கனவு வேலை போய்விட்டது.,negative
இன்று இரவு ஒரு குறிப்பிட்ட நட்சத்திரம் தீய ஆற்றல் கொண்டுவரும்.,fake
சொந்தக்காரர்கள் அன்னியர்களாகிவிட்டனர்.,negative
இந்த செய்தியை பகிர்ந்தால் உங்களுக்கு திடீர் அதிர்ஷ்டம் வரும்.,fake
அரசு ஆவண மயமாக்கல் திட்டம் முன்னேற்றம் கண்டது.,real
என் புதிய தொழில் நல்ல நிலையில் செல்கிறது.,positive
சென்னை பங்குச்சந்தை புதிய உச்சத்தை எட்டியது.,real
தேசிய ஊட்டச்சத்து திட்டம் மாநிலத்தில் விரிவாக்கப்படுகிறது.,real
தமிழ்நாட்டில் சட்டவிரோத மணல் அகழ்வு ஒழிக்க புதிய நடவடிக்கை.,real
சர்வதேச சுற்றுலாவர்கள் தமிழ்நாட்டிற்கு அதிகமாக வருகை தருகின்றனர்.,real
ஒரு கிராமத்தில் மனிதர்கள் நடக்கும் கற்கள் கண்டுபிடிக்கப்பட்டன.,fake
என் அண்டை வீட்டார் மிகவும் நல்லவர்கள்.,positive
இந்திய விண்வெளி ஆராய்ச்சி அமைப்பு புதிய செயற்கைக்கோள் ஏவியது.,real
"தண்ணீர் தினமும் வருவதில்லை, மிகவும் கஷ்டமாக இருக்கிறது.",negative
இன்று பார்த்த படம் மனதை தொட்டது.,positive
மாநில அரசு புதிய வேலைவாய்ப்பு திட்டம் அறிவித்தது.,real
என் ஊரில் பழைய வீடு இடிக்கப்பட்டது.,negative
மனம் அமைதி பெற முடியவில்லை.,negative
உதவி கேட்கவே வெட்கமாக இருக்கிறது.,negative
இந்த வலி யாருக்கு தெரியும்?,negative
மாவட்ட கலெக்டர் நேரில் சென்று வெள்ளம் பாதித்த பகுதிகளை ஆய்வு செய்தார்.,real
வேலை நிலையற்றதாக உணர்கிறது.,negative
"இன்று மழை வந்தது, விவசாயிகளுக்கு நல்லது.",positive
அடிமட்ட மக்கள் உரிமைகள் பறிக்கப்படுகின்றன.,negative
"இன்று ஒரு மரம் நட்டேன், சந்தோஷமாக இருக்கிறது.",positive
என்னுடைய கவலை குறையவில்லை.,negative
ஒரு குறிப்பிட்ட பழத்தை தின்றால் கொரோனா வராது என்று ஐ.நா சொன்னது.,fake
தேசிய கோல்ஃப் போட்டியில் தமிழ்நாட்டு வீரர் மூன்றாமிடம் பெற்றார்.,real
இந்த செய்தியை 10 பேருக்கு அனுப்பாவிட்டால் ஏதோ ஒரு தீங்கு நடக்கும்.,fake
குடும்ப அட்டை வைத்திருப்போருக்கு மாதம் ரூ.2000 நேரடி பரிமாறல்.,fake
என் துன்பம் யாரும் கவலைப்படவில்லை.,negative
என் குடும்பத்தினர் அனைவரும் மகிழ்ச்சியாக இருக்கிறார்கள்.,positive
பிரபல விளையாட்டு வீரர் போதை மருந்து உட்கொண்டதாக வரும் தகவல் அடிப்படையற்றது.,fake
மத்திய பட்ஜெட்டில் தமிழ்நாட்டிற்கு கூடுதல் நிதி ஒதுக்கீடு செய்யப்பட்டது.,real
நீங்கள் கடனாளியாக இருந்தால் அரசு மன்னிப்பு திட்டம் வந்துவிட்டது.,fake
தடகள போட்டியில் தமிழர் தேசிய சாதனை படைத்தார்.,real
"இன்று ஒரு முதியவருக்கு உதவி செய்தேன், மனம் நிறைந்தது.",positive
"மகிழ்ச்சி என்பது தேடுவதில் இல்லை, இப்போது இருப்பதில் இருக்கிறது.",positive
தினமும் 10 துளசி இலை சாப்பிட்டால் நீரிழிவு வராது.,fake
என் வலி மேலும் மேலும் ஆழமாகிறது.,negative
என் மருத்துவர் என்னை நல்ல ஆரோக்கியத்தில் பார்க்கிறார்.,positive
தினமும் ஒரு தோல்வி.,negative
நாட்டு மக்கள்தொகை கணக்கெடுப்பு பணி தொடங்கியது.,real
வாழ்க்கை அர்த்தமற்றதாக தோன்றுகிறது.,negative
பழைய நண்பர்கள் மறைந்துவிட்டனர்.,negative
இந்த பழம் சாப்பிட்டால் 3 நாளில் மரணம் நிகழலாம் என்று ஆய்வாளர்கள் கூறியுள்ளனர்.,fake
"என் நெருங்கிய உறவினர் மறைந்தார், மனம் பிளவுபடுகிறது.",negative
கட்சி தலைவர்கள் மாநில அரசின் திட்டங்களை மதிப்பீடு செய்தனர்.,real
அரசு மருத்துவமனையில் மருந்தே இல்லை.,negative
தமிழ்நாட்டில் அனைத்து தொழிலாளர்களுக்கும் குறைந்தபட்ச ஊதியம் உயர்த்தப்பட்டது.,real
மின்சார கட்டணம் கட்டிய பிறகும் திடீரென்று துண்டிக்கிறார்கள்.,negative
ஓவியம் வரையும்போது மனதில் சந்தோஷம் நிறைகிறது.,positive
நீதிமன்றம் நோயாளிகளுக்கு சிகிச்சை வழங்க மருத்துவமனை கட்டளை பெற்றது.,real
"சனி திசை தொடங்கியது, இந்த மாதம் எச்சரிக்கையாக இருங்கள்.",fake
வங்கக் கடலில் குறைந்த காற்றழுத்த தாழ்வு உருவாகியுள்ளது.,real
விஞ்ஞானிகள் நிரூபித்தனர்: தியானம் செய்பவர்கள் மரணமடைவதில்லை.,fake
"அரசு ரகசியமாக மக்களை கண்காணிக்கிறது, இந்த பொருளை தூக்கி எறியுங்கள்.",fake
தேசிய அளவில் தமிழ் மொழி மேம்பாட்டு திட்டம் புதிதாக அறிவிக்கப்பட்டது.,real
என் வலி என்றும் மறையாது.,negative
"ஒரு பயிற்சிக்காக ரூ.500 கட்டணம் செலுத்தினால் மாதம் ரூ.50,000 வரும்.",fake
குழந்தை பெண்கள் கல்விக்கு அனுப்பப்படவில்லை.,negative
என்னால் மட்டும் இப்படி நடப்பதா?,negative
என் வலி யாருக்கும் தெரிவதில்லை.,negative
மத்திய அரசு அனைவருக்கும் மாதம் ரூ.5000 கொடுக்கும்.,fake
நடிகர் திருமண விலக்கு பெற்றார் என்று வரும் செய்தி முற்றிலும் போலி.,fake
நான் படித்த பாடம் இன்று பயனளிக்கிறது.,positive
இன்று நல்ல மனிதர்களை சந்தித்தேன்.,positive
என் பணியை யாரோ திருட்டாக பயன்படுத்தினர்.,negative
"ஆறு முழுவதும் மாசுபடுகிறது, அரசு கண்டுகொள்வதில்லை.",negative
காலை வேளை சூரிய உதயம் பார்ப்பது ஒரு தனி அனுபவம்.,positive
சட்டப்பிரிவின்படி தண்டனை வழங்கப்பட்டது.,real
நண்பர்களுடன் சாப்பிட்ட ஒவ்வொரு உணவும் விருந்துதான்.,positive
அம்மா செய்த பொங்கல் சாப்பிட்டால் வேறு ஒன்றும் வேண்டாம்.,positive
"என்னை நேசிப்பவர்கள் அருகில் இருக்கிறார்கள், பாதுகாப்பாக உணர்கிறேன்.",positive
என் குழந்தைகளை பிரிந்திருக்க வேண்டும்.,negative
கம்ப்யூட்டர் முன் உட்கார்ந்தால் கதிர்வீச்சால் கண்கள் அழியும்.,fake
ஐந்து நாள் இந்த மூலிகையை உட்கொண்டால் எந்த நோயும் வராது.,fake
யாரும் என் மேல் அக்கறை காட்டுவதில்லை.,negative
இட்லி சாம்பாரை விட சிறந்த காலை உணவு இல்லை.,positive
சேவை மையத்தில் பணியாளர்கள் கவனமாக இல்லை.,negative
சிறு தொழில்களுக்கு வட்டியில்லாக் கடன் திட்டம் தொடங்கியது.,real
என் வாழ்க்கை வழிதடுமாறுகிறது.,negative
இந்த 5 ராசியினருக்கு இந்த வாரம் பணம் தொலையும்.,fake
தனிமையில் வலியோடு வாழ்கிறேன்.,negative
வேப்பிலை தோரணம் கட்டாமல் வீட்டில் இருந்தால் கெட்டது நடக்கும்.,fake
இந்த குறிப்பிட்ட கல்லை கழுத்தில் அணிந்தால் நோய் வராது.,fake
இன்று ஒரு நல்ல தொடர்பு கிடைத்தது.,positive
கன்னியாகுமரியில் சூரிய உதயம் பார்த்தது ஒரு அற்புத அனுபவம்.,positive
மகிழ்ச்சியாக இருப்பது நம் கைகளில் இருக்கிறது.,positive
இந்த நாள் என்னை மகிழ்ச்சியாக வைத்திருக்கிறது.,positive
நல்ல மனிதர்களுடன் இருப்பது வாழ்க்கையை அழகாக்கும்.,positive
என்னால் இனி பொறுக்கவே கஷ்டமாக இருக்கிறது.,negative
"அன்பான நாய் இறந்தது, மனம் வலிக்கிறது.",negative
ஒரு குறிப்பிட்ட மணி முழக்கத்தை கேட்டால் வியாதி தீரும்.,fake
தனியார் நிறுவனங்கள் ஊழியர்களை நடத்துவது சரியில்லை.,negative
தமிழ்நாட்டில் கனிம ஆய்வுப் பணி தொடங்கியது.,real
இந்த மணலை வாங்கி வீட்டில் கொட்டினால் செல்வம் பெருகும்.,fake
என் மனசாட்சி என்னை வருத்துகிறது.,negative
என்னை அன்புடன் வளர்த்தவர் இறந்தார்.,negative
ஒரு ஆய்வில் தினமும் இந்த உணவை சாப்பிட்டவர்கள் மரணமடைவதில்லை.,fake
குழந்தைகளுக்கான ஊட்டச்சத்து திட்டம் மேம்படுத்தப்பட்டது.,real
என் ஆய்வுக் கட்டுரை இதழில் வெளியிடப்பட்டது.,positive
மாவட்ட அளவில் சிறந்த ஆசிரியர் விருது வழங்கப்பட்டது.,real
என் நாட்டு வளர்ச்சியில் பெருமை கொள்கிறேன்.,positive
நூற்றுக்கணக்கான கிராமங்களில் இணைய வசதி மேம்படுத்தப்பட்டது.,real
ஆரஞ்சு சாறு பருக்குவோருக்கு குடல் புற்றுநோய் வாராது.,fake
யாரும் இல்லாத நேரத்தில் மனம் பயப்படுகிறது.,negative
உறவினர்கள் உதவ மறுத்தனர்.,negative
என்னால் இனி தாங்க முடியாது என்று தோன்றுகிறது.,negative
"வங்கிக் கணக்கில் நேரடியாக ரூ.10,000 போடுவார்கள், கட்டணமே இல்லை.",fake
"காய்ச்சலுக்கு மருந்து வேண்டாம், நல்லெண்ணெய் தேய்த்தால் போதும்.",fake
என்னால் இனி முன்னேற முடியுமா?,negative
சென்னை சூப்பர் கிங்ஸ் தற்போதைய ஐ.பி.எல். போட்டியில் முதலிடம் பெற்றது.,real
ஒரு கிராமத்தில் தேவதை வந்தாள் என்று ஆயிரம் பேர் சாட்சியிடுகிறார்கள்.,fake
தமிழ் திரைப்படங்கள் சமூக மாற்றத்திற்கு வழிகோலுகின்றன.,positive
என் குடும்பம் ஒன்றாக சேர்ந்து சாப்பிட்டோம்.,positive
நீதிமன்றம் பொதுமக்கள் நலன் காக்கும் வகையில் உத்தரவு பிறப்பித்தது.,real
என் நெருங்கிய நண்பன் வெளிநாடு சென்றுவிட்டான்.,negative
என் பிள்ளை தேர்வில் 100 மதிப்பெண் பெற்றது.,positive
"வேலை கிடைத்தது, என் கனவு நனவாகிறது.",positive
கிரிக்கெட் உலகக்கோப்பை நிறைவு ஆட்டம் வரும் மாதம் நடைபெறும்.,real
கவசம் உடுத்தினால் துப்பாக்கி குண்டு பட்டாலும் ஒன்றுமில்லை.,fake
நதிகள் மாசுபடுவதை யாரும் கவலைப்படவில்லை.,negative
நாடக கலாசாரம் தமிழரின் பெருமை.,positive
தொழிலில் பெரும் நஷ்டம் ஏற்பட்டது.,negative
நம்பிக்கை இருந்தால் எந்த இலக்கும் சாதிக்கலாம்.,positive
என் ஆரோக்கியம் இப்போது மிகவும் நன்றாக இருக்கிறது.,positive
சென்னை வெள்ள மேலாண்மைக்கு புதிய திட்டம் செயல்படுத்தப்படுகிறது.,real
வண்டி வாடகை திடீரென உயர்த்தியுள்ளனர்.,negative
இந்த தொழிலை தொடங்கினால் ஆறு மாதத்தில் லட்சங்கள் வரும்.,fake
பல்லியின் அலறல் கேட்டால் மரணம் நடக்கும்.,fake
"சிக்கிம் மலைகளின் எழில் பார்த்தேன், மனம் நிறைந்தது.",positive
மனம் எவ்வளவு கஷ்டப்பட்டாலும் யாரும் கவலைப்படுவதில்லை.,negative
பால் குடிப்பவர்களுக்கு குறிப்பிட்ட வியாதி வராது என்று ஆராய்ச்சி.,fake
"இன்று கிரகங்கள் மோசமாக நிற்கின்றன, வீட்டை விட்டு வெளியே போகாதீர்கள்.",fake
என் பெற்றோர் இல்லாத வீடு வெறுமையாக உணர்கிறது.,negative
அனைவரும் என்னை தவிர்க்கிறார்கள்.,negative
கிரிக்கெட் விளையாட்டில் நம் குழு வென்றது.,positive
ஒரே நாளில் இரட்டிப்பு பணம் தரும் திட்டம்.,fake
ஏழை மாணவர்களுக்கு தரமான கல்வி கிடைக்கவில்லை.,negative
குளங்கள் ஆக்கிரமிக்கப்படுகின்றன.,negative
வேலையின்மை பிரச்சினை அதிகரித்துக்கொண்டே போகிறது.,negative
அலுவலக சூழல் மன உளைச்சலை ஏற்படுத்துகிறது.,negative
இன்று மிகவும் நல்ல நாள்.,positive
நாட்டிய நிகழ்ச்சி பார்த்து மனம் மகிழ்ந்தது.,positive
சுவாசிக்கும் ஆக்ஸிஜன் அதிகமாகும்படி வன்னிலம் தேய்த்தால் நல்லது.,fake
புகழ்பெற்ற சமூக ஆர்வலர் கைது செய்யப்பட்டார் என்பது அடிப்படையில்லாத செய்தி.,fake
கவலை என்னை விடவில்லை.,negative
வாழ்க்கையில் இன்பமும் துன்பமும் மாறி மாறி வரும்.,positive
மது குடிப்பவர்களுக்கு கொரோனா வராது என்று நிரூபிக்கப்பட்டுள்ளது.,fake
என் பிள்ளை நல்ல பழக்கங்களை கற்றுக்கொண்டது.,positive
காலை உடற்பயிற்சி செய்ய தொடங்கியதிலிருந்து உடலும் மனமும் புத்துணர்வாக இருக்கிறது.,positive
"இன்று ஒரு மூதாட்டிக்கு உதவி செய்தேன், மனம் குளிர்ந்தது.",positive
பெண்களுக்கு சம வாய்ப்பு இன்னும் கிடைக்கவில்லை.,negative
அரசு தலைவர்கள் அனைவரும் விஷமயமான நீரை குடிக்கின்றனர்.,fake
என் வேலை இடம் மிகவும் நட்பான சூழலில் இருக்கிறது.,positive
வெற்றி கிடைக்கும்போது கடந்த கால கஷ்டம் பலனாகும்.,positive
ஓகோபர் மாதத்தில் வட தமிழகத்தில் அதிக மழை பெய்யும் என்று கணிக்கப்பட்டது.,real
மண்புழு உரம் திட்டம் கிராம பஞ்சாயத்தில் தொடங்கியது.,real
கடற்கரையில் நடப்பது என் மனதை புத்துணர்வூட்டுகிறது.,positive
என்னால் தாங்கவே கஷ்டமாக இருக்கிறது.,negative
வயதானவர்கள் புறக்கணிக்கப்படுகிறார்கள்.,negative
இரவில் ஏசி போட்டு தூங்கினால் மூளை சுருங்கும்.,fake
